37
1	1	2	210.e9	0.01
2	1	3	210.e9	0.01
3	2	3	210.e9	0.01
4	2	4	210.e9	0.01
5	3	4	210.e9	0.01
6	3	5	210.e9	0.01
7	3	6	210.e9	0.01
8	4	5	210.e9	0.01
9	5	6	210.e9	0.01
10	4	7	210.e9	0.01
11	5	7	210.e9	0.01
12	5	8	210.e9	0.01
13	5	9	210.e9	0.01
14	6	9	210.e9	0.01
15	7	8	210.e9	0.01
16	8	9	210.e9	0.01
17	7	10	210.e9	0.01
18	8	10	210.e9	0.01
19	8	11	210.e9	0.01
20	8	12	210.e9	0.01
21	9	12	210.e9	0.01
22	10	11	210.e9	0.01
23	11	12	210.e9	0.01
24	10	13	210.e9	0.01
25	11	13	210.e9	0.01
26	11	14	210.e9	0.01
27	11	15	210.e9	0.01
28	12	15	210.e9	0.01
29	13	14	210.e9	0.01
30	14	15	210.e9	0.01
31	13	16	210.e9	0.01
32	14	16	210.e9	0.01
33	14	17	210.e9	0.01
34	15	17	210.e9	0.01
35	16	17	210.e9	0.01
36	16	18	210.e9	0.01
37	17	18	210.e9	0.01

